Ability|Kha nang
Absolute|Tuyet doi
Academic|Thuoc ve hoc thuat
Accept|Chap nhan
Access|Truy cap
Accident|Tai nan
Account|Tai khoan
Accountant|Ke toan
Accurate|Chinh xac
Achieve|Dat duoc
Action|Hanh dong
Active|Nang dong
Activity|Hoat dong
Actor|Nam dien vien
Actress|Nu dien vien
Actually|Thuc su
Add|Them vao
Address|Dia chi
Adjust|Dieu chinh
Admin|Quan tri vien
Advantage|Loi the
Adventure|Cuoc phieu luu
Affectionate|Triu men, yeu thuong
Aggressive|Hung hang
Air pollution|O nhiem khong khi
Airplane|May bay
Airport|San bay
Algorithm|Thuat toan
Analyze|Phan tich
Animal|Dong vat
Animation|Hoat hinh
Annoyed|Kho chiu, buc minh
Anxious|Lo lang, bat an
API|Giao dien lap trinh ung dung
Appetizer|Mon khai vi
Apple|Tao
Application|Ung dung
Architect|Kien truc su
Architecture|Kien truc
Argument|Doi so (Lap trinh)
Array|Mang (Lap trinh)
Arrival|Su den noi
Arrogant|Kieu ngao
Artificial Intelligence|Tri tue nhan tao
Artist|Hoa si, nghe si
Asparagus|Mang tay
Assembly|Ngon ngu bac thap
Asset|Tai san
Assignment|Bai tap, phep gan
Assistant|Tro ly
Attendance|Su chuyen can
Aunt|Co, di
Autumn|Mua thu
Available|Co san
Average|Trung binh
Avoid|Tranh khoi
Background|Nen tang, ly lich
Backpack|Ba lo
Backup|Sao luu
Baggage claim|Khu nhan hanh ly
Baker|Tho lam banh
Balance|Can bang
Banana|Chuoi
Bandwidth|Bang thong
Banker|Nhan vien ngan hang
Barber|Tho cat toc nam
Base|Co so, nen tang
Basic|Co ban
Bathrobe|Ao choang tam
Battery|Pin
Bean|Dau
Bear|Gau
Beef|Thit bo
Beetroot|Cu den
Beige|Mau be
Bell pepper|Ot chuong
Belt|That lung
Benefit|Loi ich
Bicycle|Xe dap
Binary|Nhi phan
Biodiversity|Da dang sinh hoc
Biology|Sinh hoc
Bit|Don vi du lieu
Bitter|Dang
Black|Mau den
Blackboard|Bang den
Blank|Trang, trong
Blizzard|Bao tuyet
Block|Khoi
Blouse|Ao so mi nu
Blue|Mau xanh duong
Blueberry|Viet quat
Board|Bang, uy ban
Boarding pass|The len may bay
Boat|Thuyen
Bone|Xuong
Boolean|Kieu logic (Dung/Sai)
Boots|Ung, bot
Border|Bien gioi, vien
Boss|Sep, ong chu
Bow tie|No deo co nam
Bra|Ao nguc
Brain|Nao bo
Branch|Nhanh
Brave|Dung cam
Bread|Banh mi
Breakfast|Bua sang
Breezy|Co gio nhe
Bridge|Cay cau
Briefs|Quan lot nam
Broadcast|Phat song
Broccoli|Bong cai xanh
Brother|Anh, em trai
Brother-in-law|Anh/em re
Brown|Mau nau
Browser|Trinh duyet
Budget|Ngan sach
Buffalo|Trau
Buffer|Bo dem
Bug|Loi phan mem
Build|Xay dung
Bus|Xe buyt
Businessman|Nam doanh nhan
Businesswomanz|Nu doanh nhan
Button|Nut bam
Cabbage|Bap cai
Calculate|Tinh toan
Camera|May anh
Campaign|Chien dich
Cancel|Huy bo
Cap|Mu luoi trai
Capacity|Dung luong, suc chua
Capital|Thu do, tien von
Capture|Chop lay, bat giu
Car|Xe o to
Carbon footprint|Dau chan carbon
Career|Su nghiep
Careful|Can than
Carpenter|Tho moc
